Name,Team,Iso-freq,iso-pts,tra-freq,tra-pts,p&rh-freq,p&rh-pts,p&rr-pts,p&rr-pts,postup-freq,postup-pts,spotup-freq,spotup-pts,handoff-freq,handoff-pts,cut-freq,cut-pts
James Harden,HOU,0.45,1.12,0.199,1.1,0.179,0.98,0,0,0,0,0.049,1.26,0.027,1.14,0.016,1.32
Russell Westbrook,OKC,0.25,0.87,0.245,1.01,0.124,0.93,0,0,0.09,0.8,0.146,0.88,0.016,0.89,0.024,1.07
Damian Lillard,POR,0.179,1.07,0.097,1.17,0.517,1.15,0,0,0,0,0.05,1.19,0.05,1.09,0.014,1.16
Lebron James,LAL,0.175,0.9,0.195,1.13,0.273,0.99,0.008,1.08,0.101,0.97,0.062,1.01,0.037,0.72,0.033,1.4
Luka Doncic,DAL,0.15,1.02,0.108,0.96,0.463,1.04,0,0,0.034,1.02,0.061,0.93,0.054,1.03,0.017,1.47
Jayson Tatum,BOS,0.158,1,0.14,1.23,0.255,1.02,0.029,1.18,0.055,0.87,0.132,1.07,0.061,0.82,0.025,1.26
Giannis Antetokounmpo,MIL,0.149,0.9,0.267,1.14,0.068,1.1,0.066,1.17,0.117,0.92,0.103,1,0.015,1.35,0.068,1.29
Kawhi Leonard,LAC,0.147,1.05,0.137,1.23,0.328,0.97,0.012,1,0.106,1.01,0.111,1.13,0.037,0.72,0.01,1.64
DeMar DeRozan,SAS,0.139,1.13,0.132,1.22,0.346,1.05,0,0,0.094,1.04,0.113,0.92,0.038,1.06,0.027,1.29
Pascal Siakam,TOR,0.176,0.88,0.217,1.17,0.142,0.82,0.037,1.1,0.122,0.92,0.144,1.01,0.036,0.82,0.046,1.52
Chris Paul,OKC,0.179,0.99,0.131,1.02,0.487,1.08,0,0,0.009,0.82,0.082,1.21,0.019,0.73,0,0
Spencer Dinwiddie,BKN,0.148,0.95,0.139,1.05,0.482,0.89,0,0,0,0,0.111,1.03,0.027,0.79,0.017,1.63
Devin Booker,PHX,0.114,0.95,0.19,1.19,0.273,0.92,0.008,0.57,0.05,0.94,0.084,1.05,0.082,1.01,0.047,1.59
Shai Gilgeous-Alexander,OKC,0.142,1,0.173,1.14,0.376,0.96,0,0,0,0,0.187,1.11,0.044,0.79,0.02,1.08
Brandon Ingram,NOP,0.134,0.96,0.185,1.14,0.233,0.9,0.01,2,0.033,0.7,0.209,1.12,0.056,1.1,0.025,1.52
CJ McCollum,POR,0.133,0.88,0.145,1.1,0.363,0.93,0,0,0,0,0.139,1.16,0.058,0.99,0.019,1.03
Zach Lavine,CHI,0.114,0.91,0.149,1.18,0.372,0.89,0,0,0.007,0.55,0.108,0.95,0.088,0.96,0.044,1.41
Julius Randle,NYK,0.151,0.76,0.11,0.99,0.044,0.95,0.095,0.95,0.151,0.92,0.196,0.83,0.033,1,0.056,1.49
Khris Middleton,MIL,0.129,0.98,0.179,1.18,0.256,0.99,0.009,1.18,0.083,1.01,0.137,1.34,0.051,1.25,0.025,1.41
Trae Young,ATL,0.085,0.97,0.165,1.08,0.533,0.98,0,0,0,0,0.06,1.33,0.072,0.85,0,0
Austin Rivers,HOU,0.228,1.04,0.181,1.14,0.133,0.9,0,0,0,0,0.314,1,0.045,0.93,0,0
Bradley Beal,WAS,0.092,0.9,0.172,1.16,0.322,0.97,0,0,0.011,0.89,0.098,1.06,0.098,1.02,0.038,1.33
Jrue Holiday,NOP,0.098,1.08,0.186,1.04,0.318,0.78,0.009,1.25,0.012,1.13,0.178,0.94,0.068,1.04,0.03,1.24
Malcolm Brogdon,IND,0.152,0.92,0.114,0.92,0.433,0.92,0,0,0,0,0.101,0.95,0.07,0.76,0.015,1.5
Caris Levert,BKN,0.182,0.78,0.133,1.14,0.394,0.84,0,0,0,0,0.126,0.86,0.037,1.27,0.042,1.23
Dennis Schroder,OKC,0.1,1.01,0.144,1.06,0.384,0.85,0,0,0,0,0.203,1.12,0.069,1.02,0.02,1.54
Collin Sexton,CLE,0.091,1,0.168,1.13,0.37,0.9,0,0,0,0,0.134,1.1,0.075,0.77,0.046,1.11
De'Aron Fox,SAC,0.111,0.95,0.21,1.17,0.394,0.89,0,0,0,0,0.136,0.99,0.035,0.97,0.014,1.06
Donovan Mitchell,UTA,0.077,0.092,0.126,0.86,0.48,0.95,0.007,1.33,0,0,0.145,1.1,0.062,1.18,0.011,1.58
Anthony Davis,LAL,0.082,0.96,0.112,1.37,0.031,0.85,0.127,1.28,0.219,0.9,0.132,1.01,0.016,0.67,0.074,1.45
Tobias Harris,PHI,0.102,0.81,0.145,1.17,0.174,0.85,0.012,1.38,0.114,0.96,0.196,1.13,0.072,1,0.052,1.49
Eric Paschall,GSW,0.137,0.98,0.146,1.08,0.044,1.14,0.046,1.18,0.093,1.07,0.254,0.93,0.042,0.54,0.099,1.4
Bojan Bogdanovic,UTA,0.095,0.92,0.162,1.16,0.138,0.81,0.023,1.36,0.045,1.09,0.217,1.11,0.086,0.9,0.022,1.59
Jimmy Butler,MIA,0.097,0.95,0.122,1.38,0.355,0.86,0.021,1.08,0.068,1.01,0.069,0.97,0.055,0.85,0.082,1.6
Carmelo Anthony,POR,0.126,0.086,0.085,1.14,0.051,0.69,0.083,0.81,0.298,0.9,0.216,1.18,0,0,0.024,0.96
Montrezl Harrell,LAC,0.092,1.04,0.151,1.07,0.024,1.16,0.173,1.31,0.189,0.98,0.041,0.7,0,0,0.135,1.36
Danilo Gallinari,OKC,0.097,0.097,0.087,1.26,0.111,0.91,0.079,1.48,0.14,1.04,0.305,1.12,0.042,1.07,0.025,1.48
Ja Morant,MEM,0.09,0.8,0.159,1.13,0.503,0.87,0,0,0,0,0.07,1.11,0.049,0.88,0.028,1.25
Nikola Jokic,DEN,0.063,1.02,0.046,0.79,0.032,0.74,0.169,1.03,0.246,1.06,0.113,0.95,0,0,0.085,1.3
Eric Bledsoe,MIL,0.089,1.08,0.3,1.02,0.283,0.98,0,0,0,0,0.134,0.94,0.038,0.86,0.031,1.21
Paul George,LAC,0.114,0.75,0.131,1.13,0.329,0.97,0,0,0.046,0.74,0.122,1.15,0.05,1.4,0,0
Derrick Rose,DET,0.084,1.08,0.158,1.04,0.552,0.94,0,0,0,0,0.086,1.04,0.034,0.88,0.014,1.08
Joel Embiid,PHI,0.083,0.84,0.071,0.88,0,0,0.107,0.95,0.368,1.1,0.118,0.87,0.01,1.1,0.057,1.26
D'Angelo Russell,GSW,0.095,1.03,0.127,1.05,0.425,0.89,0,0,0,0,0.071,1.23,0.082,1.03,0.021,1.06
Kemba Walker,BOS,0.067,1.04,0.128,0.91,0.485,1.09,0,0,0,0,0.102,0.9,0.063,0.96,0.01,1.09
Anfernee Simons,POR,0.118,1,0.144,0.99,0.311,0.88,0,0,0,0,0.237,0.87,0.06,0.74,0.028,1.5
Terry Rozier,CHA,0.074,0.88,0.194,1.1,0.269,0.79,0.01,1.46,0,0,0.188,1.11,0.083,0.86,0.013,1.27
Buddy Hield,SAC,0.062,0.87,0.188,0.99,0.262,0.9,0.01,0.71,0,0,0.173,1.26,0.062,0.93,0.031,0.86
Marcus.Morris,LAC,0.098,0.96,0.107,1.31,0.205,1.05,0.013,0.7,0.053,0.91,0.311,0.95,0.072,1.02,0.02,1.06
Ish Smith,WAS,0.094,0.95,0.245,0.98,0.343,0.82,0,0,0,0,0.216,0.95,0.022,1,0,0
Bam Adebayo,MIA,0.076,0.81,0.112,1.07,0.047,0.96,0.177,1.18,0.069,0.9,0.081,0.81,0,0,0.24,1.15
Andrew Wiggins,GSW,0.091,0.8,0.093,1.11,0.364,0.86,0,0,0.04,0.97,0.137,0.9,0.094,1.27,0.056,1.53
Kyrie Irving,BKN,0.125,1.08,0.154,1.01,0.479,1.04,0,0,0,0,0.047,1.5,0.074,1.08,0.025,1.46
Jamal Murray,DEN,0.075,0.85,0.11,1.11,0.311,0.87,0.022,1.25,0.016,1.29,0.128,1.07,0.154,0.93,0.057,1.4
Jaylen Brown,BOS,0.074,0.82,0.224,1.18,0.131,0.87,0.026,0.93,0.044,1.12,0.281,1.1,0.054,0.97,0.031,1.2
Lou Williams,LAC,0.07,0.77,0.137,0.95,0.512,0.92,0.008,0.5,0,0,0.11,1.07,0.049,1,0.009,1.27
Devonte' Graham,CHA,0.079,0.69,0.142,1.05,0.45,0.9,0,0,0,0,0.137,1.18,0.067,0.77,0.012,1.13
Jeff Teague,ATL,0.174,0.84,0.172,0.99,0.412,1.05,0,0,0,0,0.115,0.79,0.039,0.94,0,0
Jordan Clarkson,UTA,0.097,1.07,0.145,1.17,0.258,0.96,0.016,0.5,0,0,0.259,1.07,0.079,0.96,0.022,1
Harrison Barnes,SAC,0.08,0.8,0.14,1.11,0.1,1.02,0,0,0.163,0.96,0.277,1.13,0.013,1,0.059,1.31
Gordon Hayward,BOS,0.063,1.15,0.153,1.27,0.268,0.89,0.02,0.53,0.017,1.13,0.19,1.2,0.079,1,0.057,1.37
Dejounte Murray,SAS,0.095,0.81,0.211,1.12,0.313,0.75,0,0,0,0,0.224,0.97,0.023,0.68,0.023,1.05
Rudy Gay,SAS,0.106,0.79,0.138,1.09,0.106,1.15,0.059,1.02,0.088,0.74,0.337,0.94,0.024,0.78,0.027,1.35
Kevin Porter jr.,CLE,0.136,0.8,0.185,1.06,0.262,0.71,0,0,0,0,0.183,1.14,0.065,0.72,0.057,1.56
Fred Vanvleet,TOR,0.076,0.81,0.25,1.11,0.318,0.84,0,0,0,0,0.164,1.09,0.046,0.58,0.014,1.5
Kyle Lowry,TOR,0.061,0.87,0.286,1.04,0.28,1.02,0.017,0.68,0,0,0.13,1.16,0.044,0.82,0.012,1.08
Jaren Jackson jr.,MEM,0.064,0.93,0.133,1.22,0.022,1,0.114,1.24,0.125,0.84,0.253,1.11,0.05,1.23,0.059,1.35
Tristan Thompson,CLE,0.085,0.89,0.065,1.42,0,0,0.202,0.91,0.112,0.75,0.081,0.7,0,0,0.188,1.1
Karl-Anthony Towns,MIN,0.06,1.12,0.09,1.07,0.018,1.33,0.172,1.07,0.203,0.95,0.179,1.27,0.027,0.96,0.042,1.62
Tim Hardaway jr.,DAL,0.064,0.83,0.159,1.07,0.19,0.96,0.021,1.27,0.01,0.8,0.301,1.27,0.056,1.24,0.02,1.1
Goran Dragic,MIA,0.048,1.13,0.155,1.05,0.393,0.94,0,0,0,0,0.161,1.01,0.122,0.98,0.034,1.33
Aaron Holiday,IND,0.077,0.98,0.177,0.82,0.348,0.75,0,0,0,0,0.243,1.2,0.07,0.9,0,0
Bogdan Bogdanovic,SAC,0.059,0.94,0.14,1.18,0.248,0.88,0,0,0.015,0.79,0.243,1.05,0.097,0.98,0.034,1.45
Kyle Kuzma,LAL,0.096,0.65,0.198,1.12,0.104,0.77,0.033,1,0.045,0.92,0.28,1.07,0.03,0.84,0.058,1.13
Eric Gordon,HOU,0.09,1.02,0.199,0.93,0.133,1.01,0.026,1,0,0,0.303,0.91,0.088,0.79,0.026,0.86
Ben Simmons,PHI,0.052,0.98,0.297,0.97,0.15,0.8,0.035,1.06,0.113,0.88,0.045,1.18,0.012,0.67,0.139,1.34
Mike Conley,UTA,0.061,1.09,0.115,1.17,0.457,0.84,0,0,0,0,0.18,1.14,0.061,0.89,0,0
Alec Burks,GSW,0.071,0.87,0.127,1.16,0.358,0.92,0,0,0.039,0.93,0.132,1.02,0.097,1.21,0.036,1.32
Andre Drummond,CLE,0.063,0.87,0.101,1.02,0,0,0.167,0.96,0.157,0.91,0.064,0.61,0,0,0.158,1.11
Will Barton,DEN,0.064,0.81,0.218,0.98,0.295,0.82,0,0,0,0,0.183,1.22,0.067,0.97,0.052,1.7
Coby White,CHI,0.059,0.79,0.187,1.06,0.344,0.8,0,0,0,0,0.248,0.99,0.075,0.89,0,0
Kevin Love,CLE,0.052,0.86,0.093,0.96,0.024,0.52,0.111,1.38,0.213,0.94,0.196,1.15,0.057,0.94,0.042,1.23
T.J. Warren,IND,0.044,0.84,0.201,1.32,0.183,0.91,0,0,0.029,0.74,0.218,1.14,0.056,1.14,0.089,1.45
Marcus Smart,BOS,0.062,0.81,0.17,0.96,0.248,1.01,0.022,1.05,0.038,0.88,0.268,0.88,0.038,0.94,0.032,1.15
Darius Garland,CLE,0.065,0.75,0.117,0.92,0.416,0.76,0,0,0,0,0.188,0.95,0.097,0.98,0.011,0.91
OG Anunoby,TOR,0.026,0.56,0.246,1.27,0.048,0.88,0.025,1.12,0.051,0.66,0.349,1.05,0.022,1,0.108,1.15
RJ Barrett,NYK,0.065,0.67,0.209,0.94,0.277,0.68,0,0,0.037,0.97,0.193,0.97,0.069,0.72,0.042,1.1
Aaron Gordon,ORL,0.055,0.76,0.166,1.13,0.136,0.65,0.026,1.24,0.147,0.94,0.158,0.9,0.058,0.61,0.084,1.54
T.J. McConnell,IND,0.049,1.5,0.193,1,0.454,0.86,0,0,0,0,0.115,0.8,0.03,0.75,0.049,1.08
Joe Ingles,UTA,0.05,1.05,0.123,1.29,0.416,0.85,0,0,0,0,0.199,1.01,0.073,1.04,0,0
Kendrick Nunn,MIA,0.05,0.74,0.147,1.03,0.337,0.92,0,0,0,0,0.18,0.98,0.115,1,0.041,1.25
Rui Hachimura,WAS,0.059,0.92,0.207,1.12,0.023,1.4,0.095,0.91,0.098,0.72,0.228,0.88,0,0,0.147,1.18
Roodney Hood,POR,0.119,1.42,0.144,1.21,0.124,0.84,0,0,0.114,0.83,0.337,1.22,0,0,0,0
De'Andre Hunter,ATL,0.04,1,0.14,1.11,0.19,0.69,0.032,0.89,0.022,1.26,0.342,1.01,0.074,0.81,0.026,1.36
Jordan Mcrae,HOU,0.097,0.9,0.186,0.99,0.327,0.8,0,0,0,0,0.204,1.04,0.056,1.05,0,0
Jeremy Lamb,CHA,0.073,0.81,0.135,1.1,0.35,1.01,0,0,0,0,0.205,1.03,0.076,0.84,0.026,1.33
Evan Fournier,ORL,0.038,0.77,0.132,1.19,0.318,0.96,0,0,0,0,0.174,1.17,0.117,1.01,0.034,1.69
Miles Bridges,CHA,0.049,0.77,0.149,0.94,0.073,0.97,0.059,0.72,0.078,1.09,0.37,1,0.031,0.54,0.051,1.28
